customer_id,recency,frequency,monetary,avg_basket,spend_std,unique_categories,weekend_ratio,lifespan_days,purchase_velocity,age,gender_enc,segment_km,segment_label,segment_db
CUST_0001,58,22,2302.94,104.67909090909092,23.809108882964644,8,0.3181818181818182,416,1.5865384615384617,64,1,0,Champions,0
CUST_0002,94,1,40.71,40.71,0.0,1,0.0,0,1.0,29,0,1,Loyal,0
CUST_0003,8,38,10048.51,264.43447368421056,77.38796350635836,8,0.2368421052631578,522,2.183908045977012,33,0,2,At Risk,0
CUST_0004,71,19,3068.77,161.5142105263158,51.19896172078639,7,0.3157894736842105,399,1.4285714285714286,41,0,0,Champions,0
CUST_0005,25,28,3461.43,123.6225,39.54274982710344,8,0.1785714285714285,508,1.653543307086614,36,1,0,Champions,0
CUST_0006,454,1,154.41,154.41,0.0,1,0.0,0,1.0,25,1,1,Loyal,0
CUST_0007,66,7,227.11,32.44428571428572,6.67740432888623,5,0.2857142857142857,665,0.3157894736842105,48,1,0,Champions,0
CUST_0008,7,17,2578.33,151.66647058823528,39.14713270808867,8,0.1764705882352941,472,1.0805084745762712,38,0,0,Champions,0
CUST_0009,111,15,764.5699999999999,50.97133333333333,17.56986456841318,6,0.3333333333333333,496,0.9072580645161288,34,0,0,Champions,0
CUST_0010,96,7,446.0,63.71428571428572,12.235732994175786,5,0.0,642,0.3271028037383178,40,0,0,Champions,0
CUST_0011,2,44,7585.24,172.39181818181817,42.29153454642848,8,0.3409090909090909,501,2.634730538922156,54,1,2,At Risk,0
CUST_0012,121,4,344.51,86.1275,13.920221202744344,4,0.25,198,0.6060606060606061,33,2,1,Loyal,0
CUST_0013,283,7,215.22,30.74571428571429,8.940029562111558,5,0.4285714285714285,572,0.3671328671328671,23,0,1,Loyal,0
CUST_0014,71,12,1370.15,114.17916666666667,26.53692229134663,7,0.5,495,0.7272727272727273,25,1,0,Champions,0
CUST_0015,93,1,78.74,78.74,0.0,1,1.0,0,1.0,42,1,1,Loyal,0
CUST_0016,10,8,1208.42,151.0525,51.132843722434,5,0.0,534,0.449438202247191,35,1,0,Champions,0
CUST_0017,162,4,115.99,28.9975,9.307668433429862,2,0.75,273,0.4395604395604395,42,1,1,Loyal,0
CUST_0018,9,5,381.57,76.314,23.34622517667471,5,0.2,844,0.1777251184834123,29,0,0,Champions,0
CUST_0019,35,2,86.44999999999999,43.225,12.635998179803604,2,0.0,608,0.0986842105263157,32,1,1,Loyal,0
CUST_0020,63,19,3930.44,206.86526315789476,47.05484936261098,7,0.2105263157894736,402,1.417910447761194,43,1,0,Champions,0
CUST_0021,466,1,110.71,110.71,0.0,1,0.0,0,1.0,58,0,1,Loyal,0
CUST_0022,27,8,794.54,99.3175,35.6638387285657,4,0.375,576,0.4166666666666667,62,1,0,Champions,0
CUST_0023,66,15,1774.14,118.276,25.03856619582793,8,0.3333333333333333,478,0.9414225941422594,43,1,0,Champions,0
CUST_0024,8,53,10088.05,190.34056603773584,54.40515315719693,8,0.2641509433962264,513,3.0994152046783623,64,1,2,At Risk,0
CUST_0025,45,16,2345.7,146.60625,48.06214877634998,7,0.375,581,0.8261617900172117,49,1,0,Champions,0
CUST_0026,20,17,2258.2200000000003,132.8364705882353,39.92794070904116,7,0.2352941176470588,565,0.9026548672566372,27,0,0,Champions,0
CUST_0027,139,3,239.53,79.84333333333333,18.97249676066209,3,0.3333333333333333,185,0.4864864864864864,33,1,1,Loyal,0
CUST_0028,260,1,36.96,36.96,0.0,1,1.0,0,1.0,24,0,1,Loyal,0
CUST_0029,9,58,15309.46,263.95620689655175,84.36236932003378,8,0.2068965517241379,512,3.3984375,34,0,2,At Risk,0
